Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Image Classification,shufflenet-v2-x0.5,onnx,FP16,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x0.5,onnx,FP32,OpenVINO,+,+,
Image Classification,shufflenet-v2-x1.0,onnx,FP16,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,onnx,FP32,OpenVINO,+,+,
Image Classification,shufflenet-v2-x1.0,tf,FP16,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,tf,FP32,OpenVINO,+,+,
Image Classification,shufflenet-v2-x1.0,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,shufflenet-v2-x1.0,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,shufflenet-v2-x1.0,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,simmim_swin_transformer,pytorch,FP32,torch.compile,+,+,+
Object Detection,single-human-pose-estimation-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,single-human-pose-estimation-0001,onnx,FP32,OpenVINO,+,+,
Object Detection,smartlab-object-detection-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0001,onnx,FP32,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0003,onnx,FP16,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0003,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,splinter-base,pytorch,FP32,torch.compile,+,+,+
Image Classification,spnasnet_100.rmsp_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,spnasnet-100,onnx,FP16,OpenVINO,+,+,+
Image Classification,spnasnet-100,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,spnasnet-100,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,squeezebert-uncased,pytorch,FP32,torch.compile,+,+,+
Image Classification,squeezenet1.0,onnx,FP16,OpenVINO,+,+,+
Image Classification,squeezenet1.0,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,squeezenet1.0,onnx,FP32,OpenVINO,+,+,+
Image Classification,squeezenet1.1,onnx,FP16,OpenVINO,+,+,+
Image Classification,squeezenet1.1,onnx,FP32,OpenVINO,+,+,
Image Classification,squeezenet1.1,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,squeezenet1.1,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,squeezenet1.1,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,squeezenet1.1,tf,FP32,OpenVINO,+,+,+
Image Classification,squeezenet1.1,tf,FP16,OpenVINO,+,+,+
Image Classification,squeezenet1.1,tf,INT8,OpenVINO,+,+,+
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP16,OpenVINO,+,+,+
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP32,OpenVINO,+,+,+
Image Classification,squeezenet1_0,pytorch,FP32,torch.compile,+,+,
Image Classification,squeezenet1_1,pytorch,FP32,torch.compile,+,+,
"Image Processing, Enhancement ",srgan,onnx,FP16,OpenVINO,+,,+
"Image Processing, Enhancement ",srgan,tf,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",srgan,tf,FP16-INT8,OpenVINO,,,+
"Image Processing, Enhancement ",srgan,tf,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",srgan,onnx,FP32,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",srgan,onnx,FP16,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",srgan,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,ssd_mobilenet_v1_coco,tf,FP32,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v1_coco,tf,FP16,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v1_coco,tf,INT8,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v2_coco,tf,FP32,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v2_coco,tf,FP16,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v2_coco,tf,INT8,OpenVINO,+,+,
Object Detection,ssd300-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,ssd300-onnx-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,ssd300-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ssdlite_mobilenet_v2,tf,FP32,OpenVINO,+,+,
Object Detection,ssdlite_mobilenet_v2,tf,FP16,OpenVINO,+,+,
Object Detection,ssdlite_mobilenet_v2,tf,INT8,OpenVINO,+,+,
Object Detection,ssdlite-mobilenet-v3-small-320-coco,paddle,FP32,OpenVINO,+,+,
Object Detection,ssdlite-mobilenet-v3-small-320-coco,paddle,FP16,OpenVINO,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP16,OpenVINO,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP32,OpenVINO,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP32,ONNX Runtime OVEP,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP16,ONNX Runtime OVEP,+,+,
Object Detection,ssd-resnet34-1200,onnx,INT8,ONNX Runtime OVEP,+,+,
Object Detection,ssd-resnet34-300x300,tf,FP16,OpenVINO,,+,
Object Detection,ssd-resnet34-300x300,tf,FP32,OpenVINO,,+,
Object Detection,ssd-vgg16,onnx,FP16,OpenVINO,+,+,+
Object Detection,ssd-vgg16,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ssd-vgg16,onnx,FP32,OpenVINO,+,+,+
Image Classification,ssl_resnext101_32x8d,pytorch,FP32,torch.compile,+,+,+
Image Generation,stable-diffusion-2-1-base-text-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-2-1-base-text-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-2-1-base-vae-decoder,onnx,FP32,ONNX Runtime OVEP,+,+,
Image Generation,stable-diffusion-2-1-base-vae-decoder,onnx,FP16,ONNX Runtime OVEP,+,+,
Image Generation,stable-diffusion-2-1-base-vae-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-2-1-base-vae-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-4-text-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-4-text-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-4-vae-decoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-4-vae-decoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-4-vae-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-4-vae-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Generation,stable-diffusion-v1-5,pytorch,FP16,OpenVINO,+,+,
Image Generation,stable-diffusion-v1-5,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,stable-diffusion-v1-5,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,stable-diffusion-v2-1,pytorch,FP16,OpenVINO,+,+,
Image Generation,stable-diffusion-v2-1,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,stable-diffusion-v2-1,pytorch,INT8-HYBRID,OpenVINO,+,+,
Large Language Model,stablelm-2-1_6b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-2-1_6b-chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-2-12b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-2-12b-chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-2-zephyr-1_6b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-3b-4e1t,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-base-alpha-3b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-tuned-alpha-7b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,stablelm-zephyr-3b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,starcoder,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,starcoder,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,starcoder,pytorch,FP16,OpenVINO,+,,
Large Language Model,starcoder2-15b,pytorch,FP16,OpenVINO,+,,
Large Language Model,starcoder2-15b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,starcoder2-15b,pytorch,INT8-CW,OpenVINO,+,+,
Spatial Transformer Network,STN,tf,FP16,OpenVINO,+,+,
Spatial Transformer Network,STN,tf,FP16-INT8,OpenVINO,+,+,
Spatial Transformer Network,STN,tf,FP32,OpenVINO,+,+,
Image Processing ,style_transfer,onnx,FP16,OpenVINO,+,+,+
Image Processing ,style_transfer,onnx,FP16-INT8,OpenVINO,+,+,+
Image Processing ,style_transfer,onnx,FP32,OpenVINO,+,+,+
Image Processing ,stylegan2,tf,FP16,OpenVINO,+,+,
Image Processing ,stylegan2,tf,FP32,OpenVINO,+,+,
Natural Language Processing,sup-simcse-roberta-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,swin_b,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_base_patch4_window7_224,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_s,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_t,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_tiny_patch4_window7_224,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_tiny_patch4_window7_224.ms_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_v2_b,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_v2_s,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin_v2_t,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin3d_b,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin3d_s,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin3d_t,pytorch,FP32,torch.compile,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16,OpenVINO,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP32,OpenVINO,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,swinv2_small_window8_256,pytorch,FP32,torch.compile,+,+,+
Image Classification,swsl_resnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,swsl_resnext101_32x4d,pytorch,FP32,torch.compile,+,+,+
Image Classification,t2t-vit-14,onnx,FP16,OpenVINO,+,,
Image Classification,t2t-vit-7,onnx,FP16,OpenVINO,+,,
Image Classification,t2t-vit-7,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,t2t-vit-7,onnx,FP32,OpenVINO,+,,
Image Classification,t2t-vit-7,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,t2t-vit-7,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,t2t-vit-7,onnx,INT8,ONNX Runtime OVEP,+,+,
Natural Language Processing,t5-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,t5-small,pytorch,FP32,torch.compile,+,+,+
Text Detection,text-detection-0003,tf,FP16,OpenVINO,,+,
Text Detection,text-detection-0004,tf,FP16,OpenVINO,,+,
Text Detection,text-detection-0004,tf,FP16-INT8,OpenVINO,,+,
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP32,ONNX Runtime OVEP,+,+,
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP16,ONNX Runtime OVEP,+,+,
Text Detection,text-recognition-0012,tf,FP16,OpenVINO,+,,+
Text Detection,text-recognition-0012,tf,FP32,OpenVINO,+,,
Text Detection,text-recognition-0013,onnx,FP16,OpenVINO,+,+,
Text Detection,text-recognition-0013,onnx,FP32,OpenVINO,+,+,
Text Detection,text-recognition-0014,onnx,FP16,OpenVINO,+,,
Text Detection,text-recognition-0014,onnx,FP32,OpenVINO,+,,
Text Detection,text-recognition-0014,onnx,FP16,OpenVINO,+,+,
Text Detection,text-recognition-0014,onnx,FP32,OpenVINO,+,+,
Text Detection,text-recognition-0015,onnx,FP16,OpenVINO,+,,
Text Detection,text-recognition-0015,onnx,FP32,OpenVINO,+,,
Text Detection,text-recognition-0016,onnx,FP16,OpenVINO,+,,
Text Detection,text-recognition-0016,onnx,FP32,OpenVINO,+,,
Text Detection,text-recognition-resnet-fc,onnx,FP16,OpenVINO,+,+,+
Text Detection,text-recognition-resnet-fc,onnx,FP32,OpenVINO,+,+,
Text Detection,text-spotting-0001,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0001,onnx,FP32,OpenVINO,+,,
Text Detection,text-spotting-0003,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0004,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0004,onnx,FP32,OpenVINO,+,,
Text Detection,text-spotting-0005,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0005,onnx,FP32,OpenVINO,+,,
Text to Speech,text-to-speech-en-multi-0001,onnx,FP32,OpenVINO,+,,
Image Classification,tf_inception_v3,pytorch,FP32,torch.compile,+,+,+
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP16,OpenVINO,+,,+
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP16-INT8,OpenVINO,,,+
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP32,OpenVINO,+,,+
Natural Language Processing,tiny_sd_text_encoder,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,tinybert_6layer_768dim_cola,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,tinybert_6layer_768dim_cola,onnx,FP16-INT8,OpenVINO,+,,
Natural Language Processing,tinybert_6layer_768dim_cola,onnx,FP32,OpenVINO,+,+,+
Large Language Model,tiny-llama-1.1b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,tiny-llama-1.1b-chat,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,tiny-llama-1.1b-chat,pytorch,FP16,OpenVINO,+,+,
Image Classification,tinynet_d.in1k,pytorch,FP32,torch.compile,+,+,+
Object Detection,tiramisu-fc-densenet-103,tf2,FP16,OpenVINO,+,,
Object Detection,tiramisu-fc-densenet-103,tf2,FP16-INT8,OpenVINO,+,,
Object Detection,tiramisu-fc-densenet-103,tf2,FP32,OpenVINO,+,,
Object Detection,tiramisu-fc-densenet-103,tf2,FP16,OpenVINO,+,+,+
Object Detection,tiramisu-fc-densenet-103,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,tiramisu-fc-densenet-103,tf2,FP32,OpenVINO,+,+,+
Image Classification,tnt_s_patch16_224,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",topaz_video_super_resolution,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",topaz_video_super_resolution,tf,FP16,OpenVINO,+,+,+
Image Classification,tresnet_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,tresnet_v2_l,pytorch,FP32,torch.compile,+,+,+
Image to Text,trocr-base-handwritten,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,tv_densenet121,pytorch,FP32,torch.compile,+,+,+
Image Classification,tv_resnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,twins_pcpvt_base,pytorch,FP32,torch.compile,+,+,+
Image Classification,twins_pcpvt_large,pytorch,FP32,torch.compile,+,+,+
Image Classification,twins_pcpvt_small,pytorch,FP32,torch.compile,+,+,+
Image Classification,twins_svt_base,pytorch,FP32,torch.compile,+,+,+
Image Classification,twins_svt_large,pytorch,FP32,torch.compile,+,+,+
Image Classification,twins_svt_small,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,twitter-roberta-base-sentiment-latest,pytorch,intel-optimum default,Optimum Intel,+,+,
Object Detection,ultra-lightweight-face-detection-rfb-320,onnx,FP16,OpenVINO,+,+,+
Object Detection,ultra-lightweight-face-detection-rfb-320,onnx,FP32,OpenVINO,+,+,
Object Detection,ultra-lightweight-face-detection-slim-320,onnx,FP16,OpenVINO,+,+,+
Object Detection,ultra-lightweight-face-detection-slim-320,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,unet-2d,onnx,FP16,OpenVINO,+,+,+
Semantic Segmentation,unet-2d,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,onnx,FP16-INT8,OpenVINO,+,,
Semantic Segmentation,unet3d_mlperf,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,tf,FP16,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,tf,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,unet-camvid-int8-onnx-0001,onnx,FP32,ONNX Runtime OVEP,+,+,
Semantic Segmentation,unet-camvid-int8-onnx-0001,onnx,FP16,ONNX Runtime OVEP,+,+,
Semantic Segmentation,unet-camvid-int8-onnx-0001,onnx,INT8,ONNX Runtime OVEP,+,+,
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP16,OpenVINO,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP32,ONNX Runtime OVEP,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP16,ONNX Runtime OVEP,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,INT8,ONNX Runtime OVEP,+,+,+
Speech Recognition,unispeech-1350-en-90-it-ft-1h,pytorch,intel-optimum default,Optimum Intel,,+,
Audio Classification,unispeech-sat-base-plus-sd,pytorch,intel-optimum default,Optimum Intel,+,+,
Audio,unispeech-sat-base-sv,pytorch,intel-optimum default,Optimum Intel,+,+,
Audio,unispeech-sat-large-sv,pytorch,intel-optimum default,Optimum Intel,+,+,
URL Classification,urlnet,tf2,FP16,OpenVINO,+,+,+
URL Classification,urlnet,tf2,FP32,OpenVINO,+,+,+
Object Detection,vehicle-detection-0200,onnx,FP16,OpenVINO,+,+,+
Object Detection,vehicle-detection-0200,onnx,FP32,OpenVINO,+,+,+
Object Detection,vehicle-detection-0201,onnx,FP16,OpenVINO,+,+,+
Object Detection,vehicle-detection-0201,onnx,FP32,OpenVINO,+,+,
Object Detection,vehicle-detection-0202,onnx,FP16,OpenVINO,+,+,+
Object Detection,vehicle-detection-0202,onnx,FP32,OpenVINO,+,+,+
Image Classification,vehicle-reid-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,versa,tf,FP16,OpenVINO,+,,
Image Classification,versa,tf,FP16-INT8,OpenVINO,+,,
Image Classification,versa,tf,FP32,OpenVINO,+,,
Object Detection,vfnet-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,+,,
Object Detection,vfnet-resnet50-fpn-pytorch,onnx,FP16-INT8,OpenVINO,+,,
Object Detection,vfnet-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,+,,
Image Classification,vgg11,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg11_bn,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg13,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg13_bn,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg16,onnx,FP16,OpenVINO,+,,+
Image Classification,vgg16,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,vgg16,onnx,FP32,OpenVINO,+,,+
Image Classification,vgg16,tf,FP16,OpenVINO,+,+,+
Image Classification,vgg16,tf,FP32,OpenVINO,+,+,+
Image Classification,vgg16,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg16_bn,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg-16-bn,onnx,FP16,OpenVINO,+,,+
Image Classification,vgg-16-bn,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,vgg-16-bn,onnx,FP32,OpenVINO,,,+
Image Classification,vgg19,onnx,FP16,OpenVINO,+,,+
Image Classification,vgg19,onnx,FP32,OpenVINO,+,,+
Image Classification,vgg19,tf,FP16,OpenVINO,+,+,+
Image Classification,vgg19,tf,FP32,OpenVINO,+,+,+
Image Classification,vgg19,pytorch,FP32,torch.compile,+,+,+
Image Classification,vgg19_bn,pytorch,FP32,torch.compile,+,+,+
Speech Recognition,vggvox,tf,FP16-INT8,OpenVINO,+,,
Speech Recognition,vggvox,tf,FP16,OpenVINO,+,,+
Speech Recognition,vggvox,tf,FP32,OpenVINO,+,,
Image Classification,visformer_small,pytorch,FP32,torch.compile,+,+,+
Image Classification,vision_maskrcnn,pytorch,FP32,torch.compile,,+,+
Image Classification,vision_transformer,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit_b_16,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit_b_32,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit_base_patch16_224.orig_in21k_ft_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit_base16_224_21k,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit_h_14,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit_l_16,pytorch,FP32,torch.compile,+,+,
Image Classification,vit_l_32,pytorch,FP32,torch.compile,+,+,+
Image Classification,vit-base-16-224,onnx,FP16,OpenVINO,+,,
Image Classification,vit-base-16-224,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,vit-base-16-224,onnx,FP32,OpenVINO,+,,
Image Classification,vit-base-patch16-224,pytorch,intel-optimum default,Optimum Intel,+,+,
Text Detection,vitstr-small-patch16-224,onnx,FP16,OpenVINO,+,+,+
Text Detection,vitstr-small-patch16-224,onnx,FP32,OpenVINO,+,+,+
Image Classification,vovnet,pytorch,FP32,torch.compile,+,+,
Speech Recognition,wav2vec2-base,onnx,FP16-INT8,OpenVINO,+,,
Speech Recognition,wav2vec2-base,onnx,FP16,OpenVINO,+,,+
Speech Recognition,wav2vec2-base,onnx,FP32,OpenVINO,+,,+
Speech Recognition,wav2vec2-base,onnx,FP32,ONNX Runtime OVEP,+,+,+
Speech Recognition,wav2vec2-base,onnx,FP16,ONNX Runtime OVEP,+,+,+
Speech Recognition,wav2vec2-base,onnx,INT8,ONNX Runtime OVEP,+,+,
Audio Classification,wav2vec2-base-superb-sd,pytorch,intel-optimum default,Optimum Intel,+,+,
Audio Classification,wav2vec2-base-superb-sid,pytorch,intel-optimum default,Optimum Intel,+,+,
Audio,wav2vec2-base-superb-sv,pytorch,intel-optimum default,Optimum Intel,+,+,
Text to Speech,wavernn-rnn,onnx,FP16,OpenVINO,+,+,+
Text to Speech,wavernn-rnn,onnx,FP32,OpenVINO,+,+,+
Text to Speech,wavernn-upsampler,onnx,FP16,OpenVINO,+,+,+
Text to Speech,wavernn-upsampler,onnx,FP32,OpenVINO,+,+,+
Text to Speech,wavernn-upsampler,onnx,FP32,ONNX Runtime OVEP,+,+,+
Text to Speech,wavernn-upsampler,onnx,FP16,ONNX Runtime OVEP,+,+,+
Text to Speech,wavernn-upsampler,onnx,INT8,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",wdsr-small-x4,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",wdsr-small-x4,onnx,FP16-INT8,OpenVINO,+,,+
"Image Processing, Enhancement ",wdsr-small-x4,onnx,FP32,OpenVINO,+,+,
Image Classification,weld-porosity-detection-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,weld-porosity-detection-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,weld-porosity-detection-0001,onnx,FP32,OpenVINO,+,+,+
Speech Recognition,whisper-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Audio,whisper-base-decoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,whisper-base-decoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Audio,whisper-base-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,whisper-base-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Speech Recognition,whisper-large-v2,pytorch,intel-optimum default,Optimum Intel,+,+,
Speech Recognition,whisper-large-v3,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-large-v3,pytorch,INT4-MIXED,OpenVINO,+,+,
Speech Recognition,whisper-large-v3,pytorch,INT8-CW,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo,pytorch,INT4-MIXED,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo,pytorch,INT8-CW,OpenVINO,+,+,
Speech Recognition,whisper-medium,pytorch,intel-optimum default,Optimum Intel,+,+,
Speech Recognition,whisper-small,pytorch,intel-optimum default,Optimum Intel,+,+,
Speech Recognition,whisper-tiny,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-tiny,pytorch,INT4-MIXED,OpenVINO,+,+,
Speech Recognition,whisper-tiny,pytorch,INT8-CW,OpenVINO,+,+,
Image Classification,wide_resnet101_2,pytorch,FP32,torch.compile,+,+,+
Image Classification,wide_resnet50_2,pytorch,FP32,torch.compile,+,+,+
Image Classification,wide-resnet-50-v2,onnx,FP16,OpenVINO,+,+,+
Image Classification,wide-resnet-50-v2,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,wide-resnet-50-v2,onnx,FP32,OpenVINO,+,+,+
Large Language Model,WizardMath-7B-V1.1,pytorch,INT4,Optimum Intel,+,+,
Image Classification,xception,pytorch,FP32,torch.compile,+,+,+
Image Classification,xception65,pytorch,FP32,torch.compile,+,+,+
Image Classification,xcit_nano_12_p16_224,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,xlm-roberta-base,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,xlm-roberta-base,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,xlm-roberta-base,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,xlm-roberta-base,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,xlm-roberta-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,xlm-roberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,xlm-roberta-base-language-detection,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,xlm-roberta-base-uncased-conll2003,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,xlm-roberta-large,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,xlm-roberta-large-en-ru-mnli,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,xlm-roberta-large-finetuned-conll03-english,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,xlnet,onnx,FP16,OpenVINO,+,+,
